#t,px,py,pz,vx,vy,vz,qx,qy,qz,qw,wx,wy,wz,accx,accy,accz,trajx,trajy,trajz,trajvx,trajvy,trajvz,Fbz,mx,my,mz,qdx,qdy,qdz,qdw,pxhat,pyhat,pzhat,vxhat,vyhat,vzhat,qxhat,qyhat,qzhat,qwhat,wxhat,wyhat,wzhat
0.0531667   0.76855   9.33338  -16.7164   14.4409   3.25273   1.05201 -0.536491  0.100111  0.105907  0.831227   2.49752 0.0814263  0.919036 -0.49123 -7.81405  6.53962 0.768982  9.33862 -16.7135 14.4582 3.44749  1.1126 -4.2406  0.0370494  0.0223469 -0.0667592 -0.530072  0.107828 0.0982117  0.835315  0.940444   9.44433   -16.712   14.4739   3.12736   1.01114 -0.539726  0.106063  0.105585  0.828431   2.57833  0.132432  0.838577
0.058  0.838348    9.3491  -16.7114   14.4387    3.2153    1.0828 -0.531262  0.102103  0.107041  0.834193   2.57445  0.136016  0.838368 -0.522465  -7.75482   6.45921 0.838861  9.35519  -16.708 14.4573 3.40942 1.14154 -4.22998 -0.00616384  0.00678819  -0.0935573 -0.528068   0.10679 0.0973375  0.836818   1.01341   9.46606  -16.7061   14.5183   3.20923   1.11851 -0.509239 0.0985306  0.111652  0.823949   2.56355  0.156938  0.721344
0.0628333  0.908135   9.36464  -16.7061   14.4364   3.17816   1.11321 -0.525889  0.104117  0.107919   0.83723   2.56121  0.157712   0.72532 -0.49434 -8.74995  5.50897 0.908736  9.37158 -16.7024 14.4563 3.37151 1.17035 -4.87901 -0.172565 0.0675434 -0.100829 -0.523723  0.111006 0.0965511  0.839089   1.08358   9.48157  -16.7007   14.5159   3.16694   1.14513 -0.514173   0.10251  0.114588  0.843794   2.20364  0.304126  0.599509
0.0676667   0.97791      9.38  -16.7007   14.4335   3.13557   1.14052 -0.520554  0.106024   0.10854  0.840239    2.2013  0.304929  0.603486 -0.553197  -8.93812   5.28447 0.978605  9.38778 -16.6967 14.4553 3.33376 1.19902 -5.01463 -0.177584 0.0194727 -0.117645 -0.521941  0.110137  0.095655  0.840415   1.15374   9.49688  -16.6951   14.5132   3.12374   1.17067 -0.509607  0.104483  0.114884  0.846277   1.83304  0.349318  0.457355
0.0725   1.04767   9.39515  -16.6952   14.4303   3.09205   1.16677 -0.516002  0.107978  0.108816  0.842759   1.83069  0.350147  0.461331 -0.616984  -9.15426   5.06287  1.04847   9.4038 -16.6909 14.4543 3.29616 1.22756 -5.16289 -0.171666         0 -0.126748 -0.520188  0.109255 0.0947564  0.841718   1.22389   9.51198  -16.6895   14.5103   3.07949   1.19514 -0.505834  0.106269  0.114926   0.84831   1.47484  0.352252    0.3042
0.0773333  1.11742   9.4101 -16.6896  14.4269  3.04747  1.19197 -0.51224 0.109747  0.10884  0.84482  1.47248 0.353103 0.308177 -0.682154   -9.4031   4.83893  1.11833  9.41965 -16.6849 14.4533 3.25872 1.25595 -5.32672 -0.158326         0 -0.130771 -0.518455  0.108356  0.093856  0.843003   1.29382   9.52673   -16.685   14.5045   3.02937   1.20425 -0.520615  0.113235  0.110061  0.858984   1.14336  0.355322  0.149527
0.0821667   1.18715   9.42483  -16.6838   14.4231   3.00167   1.21611 -0.509241  0.111236  0.108641  0.846462   1.14226  0.354691  0.150162 -0.718655  -8.26515   5.60951  1.18819  9.43531 -16.6787 14.4524 3.22144 1.28422 -4.64729 -0.0610667          0  -0.114091 -0.518054  0.107378 0.0928672  0.843484   1.36393   9.54137  -16.6792    14.501   2.98942   1.23136  -0.50978  0.112556   0.10781  0.846069   1.01595  0.355921 0.0116678
0.087   1.25686   9.43934   -16.678   14.4196   2.96186   1.24297 -0.506955  0.112445  0.108204  0.847729   1.01485  0.355292 0.0123025 -0.746583  -8.22104   5.58319  1.25804  9.45079 -16.6724 14.4514 3.18432 1.31235 -4.63477 -0.0522821          0  -0.113783 -0.516244  0.106347 0.0919739  0.844822   1.43402   9.55582  -16.6733   14.4974   2.94968   1.25835 -0.507791  0.113563  0.107119  0.847217  0.907019  0.355962  -0.12582
0.0918333   1.32655   9.45365  -16.6719   14.4159   2.92226   1.26969 -0.504964  0.113453  0.107518   0.84887  0.905911  0.355335 -0.125186 -0.771042  -8.15645   5.57308 1.32788 9.46609 -16.666 14.4504 3.14735 1.34034 -4.60947 -0.0434408          0  -0.113162 -0.514427  0.105297 0.0910805  0.846157   1.50409   9.57008  -16.6672   14.4937   2.91026   1.28528 -0.506059  0.114371  0.106175  0.848263  0.816674  0.355563 -0.262558
0.0966667   1.39623   9.46778  -16.6658   14.4122   2.88297   1.29637  -0.50323  0.114265  0.106579  0.849908  0.815565  0.354938 -0.261923 -0.782285  -7.97741   5.62848  1.39772  9.48121 -16.6595 14.4494 3.11054  1.3682 -4.51809 -0.0337581          0  -0.110919 -0.512601  0.104231 0.0901872  0.847492   1.58177   9.58773  -16.6589   14.5671   2.92213   1.32369  -0.45533  0.107146  0.116056   0.85937  0.745654  0.356032 -0.400576
